word,count
super,336
fast,580
bought,369
bit,350
camera,911
photos,294
battery,1031
life,252
display,611
quality,648
original,426
arrived,492
mobile,255
product,731
smartphone,478
received,307
beautiful,285
perfectly,211
screen,548
day,365
amazon,345
easy,203
device,656
days,311
buy,508
happy,329
delivery,422
recommend,499
price,947
nice,288
android,485
time,569
size,247
ios,424
system,201
top,373
perfect,354
excellent,369
purchase,250
gb,205
worth,208
apps,242
button,236
touch,265
samsung,319
love,253
design,279
black,221
performance,249
lot,266
color,214